date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/8/10;San Lorenzo;San Lorenzo;Fruiz  ;Fruiz  ;Bizkaia;35;43,328889;-2,783333
2022/9/14;Exaltación de la Santa Cruz;Gurutze Santuaren gorespena;Galdakao  ;Galdakao  ;Bizkaia;36;43,230556;-2,845833
2022/6/29;San Pedro Apóstol  ;San Pedro Apostol;Galdames  ;Galdames  ;Bizkaia;37;43,255000;-3,096389
2022/11/11;San Martín;San Martín;Gamiz-Fika  ;Gamiz-Fika  ;Bizkaia;38;43,311728;-2,810701
2022/7/26;Santa Ana;Santa Ana;Garai  ;Garai  ;Bizkaia;39;43,194722;-2,609722
2022/4/25;San Marcos;Markos Deuna;Gatika  ;Gatika  ;Bizkaia;40;43,363889;-2,871944
2022/1/26;San Policarpio;San Policarpio eguna;Gautegiz Arteaga;Gautegiz Arteaga;Bizkaia;41;43,353104;-2,650985
2022/8/16;San Roque;San Roke;Gernika-Lumo  ;Gernika-Lumo  ;Bizkaia;46;43,317073;-2,678975
2022/8/10;San Lorenzo;San Lorenzo eguna ;Getxo  ;Getxo  ;Bizkaia;44;43,344167;-3,006389
2022/9/8;Andra Mari;Andra Mari Eguna;Gizaburuaga;Gizaburuaga;Bizkaia;47;43,331940;-2,536111
2022/9/26;San Cosme y San Damián;San Cosme y San Damián;Gordexola  ;Gordexola  ;Bizkaia;42;43,178611;-3,072778
2022/8/5;Nuestra Señora de Aguirre y de las Nieves;Agirreko Andra Maria eta Elurretakoa;Gorliz  ;Gorliz  ;Bizkaia;43;43,416667;-2,933333
2022/8/10;San Lorenzo;San Lorenzo;Güeñes  ;Güeñes  ;Bizkaia;45;43,210321;-3,095317
2022/6/16;Corpus Christi;Corpus Christi;Ibarrangelu;Ibarrangelu;Bizkaia;48;43,390215;-2,633802
2022/6/13;Fiesta local;Tokiko jai-eguna;Igorre;Igorre;Bizkaia;94;43,165833;-2,776111
2022/7/26;Santa Ana;Santa Ana;Ispaster;Ispaster;Bizkaia;49;43,362954;-2,544635
2022/9/29;San Miguel  ;San Miguel;Iurreta  ;Iurreta  ;Bizkaia;910;43,176705;-2,633777
2022/9/8;Ntra. Sra. De Erdozia;Ntra. Sra. De Erdozia;Izurtza  ;Izurtza  ;Bizkaia;50;43,152273;-2,641978
2022/9/29;San Miguel  ;San Miguel;Valle de Carranza;Karrantza Harana;Bizkaia;22;43,225278;-3,359444
2022/7/26;Fiesta local;Tokiko jai-eguna;Kortezubi  ;Kortezubi  ;Bizkaia;907;43,335982;-2,654319
2022/8/5;La Virgen de las Nieves;La Virgen de las Nieves;Lanestosa;Lanestosa;Bizkaia;51;43,221169;-3,439148
2022/9/29;San Miguel;San Miguel;Larrabetzu;Larrabetzu;Bizkaia;52;43,260973;-2,796175
2022/9/29;San Miguel;San Miguel;Laukiz;Laukiz;Bizkaia;53;43,353333;-2,906111
2022/6/24;San Juan;San Juan eguna;Leioa ;Leioa ;Bizkaia;54;43,326097;-2,987704
2022/9/2;San Antolín  ;San Antolin eguna;Lekeitio;Lekeitio;Bizkaia;57;43,365509;-2,503344
2022/9/8;Andra Mari;Andra Mari;Lemoa;Lemoa;Bizkaia;55;43,208759;-2,774116
2022/10/17;Fiesta Local;Tokiko jai-eguna;Lemoiz;Lemoiz;Bizkaia;56;43,413244;-2,902253
2022/9/8;Andra Mari;Andra Mari eguna;Lezama;Lezama;Bizkaia;81;43,272167;-2,832167
2022/6/29;Fiesta local;Tokiko jai-eguna;Loiu;Loiu;Bizkaia;903;43,315000;-2,938333
2022/3/2;Miércoles de Ceniza;Hautsezko asteazkena;Mallabia;Mallabia;Bizkaia;58;43,189651;-2,529969
2022/10/21;Santa Ursula;Santa Ursula;Mañaria;Mañaria;Bizkaia;59;43,137485;-2,661135
2022/7/16;Fiesta local;Tokiko jai-eguna;Markina-Xemein;Markina-Xemein;Bizkaia;60;43,270604;-2,497155
2022/8/10;San Lorenzo;Lorentzo Deuna;Maruri-Jatabe;Maruri-Jatabe;Bizkaia;61;43,382772;-2,874989
2022/9/29;San Miguel;San Miguel;Mendata;Mendata;Bizkaia;62;43,283333;-2,633333
2022/8/1;San Pedro Advincula;San Pedro Advincula;Mendexa;Mendexa;Bizkaia;63;43,346389;-2,483333
2022/8/16;San Roque;Roke Deuna;Meñaka;Meñaka;Bizkaia;64;43,364464;-2,801795
2022/7/26;Santa Ana;Santa Ana;Morga;Morga;Bizkaia;66;43,297932;-2,752739
2022/6/29;San Pedro y San Pablo;San Pedro eta San Paulo jai eguna;Mundaka;Mundaka;Bizkaia;68;43,407335;-2,698322
2022/6/29;Fiesta local;Tokiko jai-eguna;Mungia;Mungia;Bizkaia;69;43,354410;-2,846714
2022/6/29;San Pedro;San Pedro Eguna;Munitibar-Arbatzegi Gerrikaitz;Munitibar-Arbatzegi Gerrikaitz;Bizkaia;7;43,265332;-2,591845
